labels,probs
0,0.40698993
0,0.06542161
0,0.024787368
0,0.021025384
0,0.021899497
0,0.19652143
0,0.104570754
0,0.010807738
0,0.50360113
0,0.003084579
0,0.0097675035
0,0.17171578
0,0.32912523
0,0.4340789
0,0.71194804
0,0.67209643
0,0.8108365
0,0.013907571
0,0.12577134
0,0.2680441
0,0.37763217
0,0.020446127
0,0.0655959
0,0.6073412
0,0.55935955
0,0.024639243
0,0.063920565
0,0.1541818
0,0.055645317
0,0.6517569
0,0.3458294
0,0.11390585
0,0.2818982
0,0.262917
0,0.43799344
0,0.13717863
0,0.01913222
0,0.110647626
0,0.64407945
0,0.20963244
0,0.16919012
0,0.36036035
0,0.040552787
0,0.7725684
0,0.055551264
0,0.023045057
0,0.063952975
0,0.4512193
0,0.8742851
0,0.033749387
0,0.4706328
0,0.031754818
0,0.041789457
0,0.859746
0,0.2142308
0,0.2203873
0,0.053313635
0,0.5999316
0,0.38200423
0,0.24278043
0,0.041814372
0,0.06957137
0,0.21797237
0,0.12723352
0,0.08913456
0,0.6175907
0,0.10150799
0,0.089377776
0,0.3079789
0,0.07653964
0,0.112246305
0,0.90080047
0,0.38688734
0,0.16623057
0,0.50301987
0,0.41952097
0,0.79875654
0,0.014931964
0,0.10940776
0,0.343263
0,0.060480397
0,0.14729549
0,0.033470657
0,0.71246225
0,0.22169775
0,0.7541757
0,0.42356977
0,0.55501455
0,0.2184933
0,0.09585838
0,0.12557055
0,0.08569876
0,0.017546
0,0.032405607
0,0.031349912
0,0.006770764
1,0.7547686
1,0.17759012
1,0.9563281
1,0.035466988
1,0.15608494
1,0.8444038
1,0.15629728
1,0.13255832
1,0.54575306
1,0.56740916
1,0.50099176
1,0.39222768
1,0.8771388
1,0.8063702
1,0.77498275
1,0.6989336
1,0.22811916
1,0.27297944
1,0.980681
1,0.7639175
1,0.5013346
1,0.8804099
1,0.99228126
1,0.6860268
1,0.7301915
1,0.9453391
1,0.32063448
1,0.9680117
1,0.8371453
1,0.90797365
1,0.99176884
1,0.96527773
1,0.6238891
1,0.9568621
1,0.9381988
1,0.9128397
1,0.7673031
1,0.46047795
1,0.8921965
1,0.9608584
1,0.34956217
1,0.44871062
1,0.7700184
1,0.953626
1,0.9402886
1,0.9131437
1,0.98038197
1,0.9022118
1,0.9503551
1,0.9205855
