labels,probs
0,2.4455607e-05
0,3.7281192e-05
0,0.114290446
0,0.0032431015
0,0.019954424
0,0.0011568629
0,2.5244213e-05
0,0.0020329228
0,0.00010641577
0,3.1867552e-05
0,7.159351e-06
0,9.372605e-06
0,0.0007569964
0,3.8932008e-06
0,0.2348029
0,0.00070382387
0,0.09363813
0,0.0006309806
0,0.001009546
0,0.08443399
0,0.002800935
0,0.0008951528
0,0.0008641148
0,0.9979728
0,0.018044073
0,0.0013748339
0,1.7295512e-06
0,5.898448e-06
0,6.6666085e-05
0,0.0004521191
0,0.011663163
0,0.9193292
0,0.005064684
0,0.00017222176
0,0.0005527986
0,0.00030186883
0,0.1719526
0,0.00022609932
0,0.00011166064
0,0.00045711672
0,0.0022486441
0,0.031678088
0,0.6707499
0,0.0037194495
0,0.00011890979
0,7.920569e-05
0,0.00014602442
0,7.2231096e-06
0,4.283827e-05
0,9.562705e-05
0,0.0009133196
0,0.0007456711
0,0.009220768
0,0.0054853843
0,0.000101349666
0,0.00024021465
0,1.0242306e-06
0,3.0171582e-06
0,0.0010354437
0,0.0015207944
0,0.0005690532
0,0.000119496326
0,0.0014586269
0,0.00026149055
0,0.001486117
0,0.000323558
0,1.8477588e-06
0,2.408942e-05
0,8.41064e-05
0,6.629908e-05
0,0.18900664
0,0.07905366
0,0.0001580317
0,0.0033626035
0,0.00053450913
0,4.7922338e-05
0,0.0003024499
0,5.4687593e-05
0,0.0024766251
0,1.929305e-05
0,0.21971852
0,0.055432025
0,0.0006284042
0,0.0003231834
0,0.04592013
0,0.005795983
0,0.0043312856
0,0.000901838
0,0.001448336
0,0.0012335746
0,0.00095090974
0,5.482805e-07
0,1.4178794e-06
0,4.5613524e-06
0,1.6136082e-06
0,0.0007657646
1,0.9999963
1,0.9999138
1,0.99999404
1,0.8238287
1,0.9999957
1,0.9944965
1,0.9999802
1,0.9515783
1,0.99989927
1,0.99941075
1,0.99998105
1,0.98032653
1,0.99773395
1,0.9996629
1,0.99999535
1,0.9811792
1,0.9999995
1,0.99999404
1,0.99999535
1,0.99874675
1,0.9999435
1,0.99995303
1,0.9997819
1,0.9998709
1,0.9998683
1,0.99998164
1,0.99994206
1,0.99999666
1,0.9998517
1,0.9998375
1,0.9999912
1,1.0
1,0.9999888
1,0.9999999
1,1.0
1,0.9999918
1,0.999982
1,0.9999975
1,0.9999987
1,1.0
1,0.99999785
1,0.98414284
1,0.9998079
1,0.9999999
1,0.9999763
1,0.99999964
1,0.99999654
1,0.9999995
1,0.99997187
1,0.99999905
